module,params,macs_per_timestep,macs_per_sample,macs_percent_of_total
conv1,9856,41472,6635520,1.1530
cbam_conv1,526,8080,1292800,0.2246
conv2,84608,3096576,495452160,86.0923
cbam_conv2,2062,8212,1313920,0.2283
avg_pool,0,0,0,0.0000
conv3,295680,294912,47185920,8.1993
cbam_conv3,8206,16482,2637120,0.4582
temp_conv1,197888,65536,10485760,1.8221
fc1,66304,65536,10485760,1.8221
fc2,512,0,512,0.0001
neuron_state,160,0,0,0
__TOTAL__,665802,,575489472,100.0
__CBAM_AGG__,10794,,5243840,0.9112
__NON_CBAM_AGG__,655008,,570245632,99.0888
