module,type,dense_macs_per_ts,timesteps,mean_firing_rate,synops_per_sample,energy_pJ_per_sample,percent_of_total
conv1,SNN,41472,160,0.430816,2858689.60,2572820.6400,2.8286
conv2,SNN,3096576,160,0.127924,63380200.96,57042180.8640,62.7132
conv3,SNN,294912,160,0.068947,3253345.28,2928010.7520,3.2191
temp_conv1,SNN,65536,160,0.135078,1416391.11,1274752.0000,1.4015
fc1,SNN,65536,160,0.319532,3350532.55,3015479.2960,3.3153
cbam_conv1,ANN,8080,160,1.000000,1292800.00,5946880.0000,6.5381
cbam_conv2,ANN,8212,160,1.000000,1313920.00,6044032.0000,6.6449
cbam_conv3,ANN,16482,160,1.000000,2637120.00,12130752.0000,13.3368
fc2,ANN,512,1,1.000000,512.00,2355.2000,0.0026
__SNN_SUB__,,,,,,66833243.5520,73.4776
__ANN_SUB__,,,,,,24124019.2000,26.5224
__CBAM__,,,,,,24121664.0000,26.5198
__TOTAL__,,,,,,90957262.7520,100.0
